,PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
10,M6B,North York,Glencairn,43.709577,-79.44507259999997,1.0,Pizza Place,Park,Bakery,Japanese Restaurant,Drugstore,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant
11,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.55472440000001,1.0,Bakery,Women's Store,Dumpling Restaurant,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant,Diner
12,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999,1.0,Construction & Landscaping,Bar,Women's Store,Dumpling Restaurant,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant
13,M3C,North York,Don Mills South,43.72589970000001,-79.340923,1.0,Gym,Coffee Shop,Restaurant,Asian Restaurant,Bike Shop,Sandwich Place,Beer Store,Sporting Goods Shop,Bus Line,Italian Restaurant
14,M4C,East York,Woodbine Heights,43.69534390000001,-79.3183887,1.0,Skating Rink,Curling Ice,Park,Beer Store,Athletics & Sports,Dance Studio,Women's Store,Dog Run,Doner Restaurant,Donut Shop
15,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,1.0,Café,Coffee Shop,Cocktail Bar,Cosmetics Shop,Gastropub,Park,Hotel,Seafood Restaurant,Italian Restaurant,Restaurant
16,M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002,1.0,Playground,Field,Hockey Arena,Trail,Women's Store,Drugstore,Diner,Discount Store,Distribution Center,Dog Run
17,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.57720079999999,1.0,Pizza Place,Beer Store,Pharmacy,Coffee Shop,Café,Shopping Plaza,Liquor Store,Pet Store,Deli / Bodega,Eastern European Restaurant
18,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,1.0,Intersection,Restaurant,Breakfast Spot,Electronics Store,Medical Center,Rental Car Location,Bank,Mexican Restaurant,Doner Restaurant,Distribution Center
19,M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312,1.0,Health Food Store,Pub,Trail,Women's Store,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
20,M5E,Downtown Toronto,Berczy Park,43.6447708,-79.3733064,1.0,Coffee Shop,Bakery,Cocktail Bar,Restaurant,Cheese Shop,Seafood Restaurant,Beer Bar,Pharmacy,Farmers Market,Japanese Restaurant
21,M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512,0.0,Park,Women's Store,Pool,Dumpling Restaurant,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Drugstore
22,M1G,Scarborough,Woburn,43.7709921,-79.21691740000001,1.0,Coffee Shop,Korean BBQ Restaurant,Indian Restaurant,Eastern European Restaurant,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant
23,M4G,East York,Leaside,43.7090604,-79.3634517,1.0,Coffee Shop,Sporting Goods Shop,Burger Joint,Furniture / Home Store,Bank,Pet Store,Shopping Mall,Supermarket,Fish & Chips Shop,Sports Bar
24,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,1.0,Coffee Shop,Italian Restaurant,Café,Sandwich Place,Thai Restaurant,Bubble Tea Shop,Burger Joint,Japanese Restaurant,Salad Place,Department Store
25,M6G,Downtown Toronto,Christie,43.669542,-79.4225637,1.0,Grocery Store,Café,Park,Coffee Shop,Baby Store,Restaurant,Italian Restaurant,Nightclub,Candy Store,Drugstore
26,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999998,1.0,Hakka Restaurant,Gas Station,Fried Chicken Joint,Bank,Bakery,Thai Restaurant,Athletics & Sports,Caribbean Restaurant,Creperie,Concert Hall
27,M2H,North York,Hillcrest Village,43.8037622,-79.3634517,1.0,Fast Food Restaurant,Pool,Golf Course,Dog Run,Mediterranean Restaurant,Women's Store,Drugstore,Discount Store,Distribution Center,Doner Restaurant
